Configuration,Test run,Initialization time (s),Invocation time (s)
No pre-calls,1,3.9,4.3
No pre-calls,2,3.7,3.9
No pre-calls,3,3.8,3.8
No pre-calls,4,3.8,3.9
No pre-calls,5,3.8,4.4
Pre-call: S3,1,4.6,1.5
Pre-call: S3,2,4.6,0.84
Pre-call: S3,3,4.9,0.95
Pre-call: S3,4,4.7,1.7
Pre-call: S3,5,5,0.95
Pre-call: DynamoDB,1,4.6,0.96
Pre-call: DynamoDB,2,4.6,1.5
Pre-call: DynamoDB,3,4.6,0.95
Pre-call: DynamoDB,4,4.6,0.91
Pre-call: DynamoDB,5,4.6,1.2
Pre-call: S3 + DynamoDB,1,5.1,0.16
Pre-call: S3 + DynamoDB,2,4.7,0.11
Pre-call: S3 + DynamoDB,3,4.9,0.22
Pre-call: S3 + DynamoDB,4,4.8,0.12
Pre-call: S3 + DynamoDB,5,5,0.22
