Deployment Size (Zipped) (MB),Test run,Pre-init time (s),Initialization time (s),Invocation time (s)
13.3,1,0.1,3.6,4
13.3,2,0.3,3.5,3.7
13.3,3,0.1,3.6,3.7
13.3,4,0.1,3.7,4.2
13.3,5,0.1,3.6,3.9
50.4,1,0.2,3.6,3.9
50.4,2,0.300000000000001,3.6,4
50.4,3,0.199999999999999,3.7,3.7
50.4,4,0.4,3.7,4.3
50.4,5,0.3,3.7,4.5
100.4,1,0.800000000000001,3.6,4.1
100.4,2,0.699999999999999,3.7,4.3
100.4,3,0.800000000000001,3.5,4.5
100.4,4,0.5,3.6,4.1
100.4,5,0.6,3.5,3.7
150.4,1,1,3.6,3.8
150.4,2,0.900000000000001,3.6,3.8
150.4,3,0.800000000000001,3.5,4
150.4,4,0.900000000000001,3.8,3.6
150.4,5,0.699999999999999,3.6,4.4
200.5,1,1.1,3.5,3.8
200.5,2,1,3.6,3.8
200.5,3,1.1,3.5,3.6
200.5,4,0.999999999999999,3.5,4.2
200.5,5,1,3.5,3.9
247.5,1,1.5,3.5,4
247.5,2,1.2,3.6,3.7
247.5,3,1.6,3.5,4.4
247.5,4,1.2,3.4,4
247.5,5,2.8,3.4,3.6
